Player,Pos,Squad,Age,Min,Goals,SoT%,G/Sh,ShoDist,PasTotCmp%,PasShoCmp%,PasMedCmp%,PasLonCmp%,Assists,PasAss,Pas3rd,PPA,CrsPA,PasCrs,TI,SCA,GCA,Tkl,TklWon,TklDri%,Blocks,Int,Clr,Err,Touches,TouAtt3rd,TouAttPen,CPA,Crs,PKwon,PKcon,Recov,AerWon%,Rankings
Nathan Collins,DF,Wolves,21,1472,-0.7910146123601988,0.0,-0.8589644165131605,-0.7629839355781379,0.888,0.92,0.9390000000000001,0.682,-0.7154074347719397,-1.0710379211353214,-0.3696545536476779,-0.9986583410974094,-0.6788143132341401,-0.7822237518764553,-0.5363720795024736,-1.2037763018928835,-0.962639546604153,-0.7096012298581684,-0.7411576936345636,0.6,-0.23476239232079607,-0.12359064264148481,0.7727723024639863,-0.37863844029377736,-0.5570890890325683,-1.2297445078332188,-0.8747205334959613,-0.5988943705957597,-0.7822237518764553,-0.2776673809526785,-0.2814031501226062,-0.7473575023798535,0.521,75
Kingsley Coman,FWMF,Bayern Munich,26,749,1.6227796618248647,0.26899999999999996,0.5024795255643538,0.3434057634600697,0.7959999999999999,0.892,0.799,0.609,2.3475680996591723,2.96372223565491,-0.29673580858773607,2.562097913971929,2.781658254617821,1.9102760358775819,-0.25215963764676835,2.895532241521344,2.3484435270058843,-0.3797557370981229,-0.29290682837231,0.444,0.6484820052604963,-1.2848978955723134,-0.6275061706846078,-0.37863844029377736,0.7638970092379791,3.036485937816608,2.1420956646403533,4.111529370487781,1.9102760358775819,2.8235507165655727,-0.2814031501226062,0.1429353744043409,0.5,1
Eray Cömert,DF,Valencia,25,1337,-0.45295703731072007,0.625,0.3209536666206853,-0.14415579882795426,0.868,0.888,0.946,0.698,-0.7154074347719397,-0.9951039623945968,-0.47288913928873016,-0.9798597236019108,-0.6788143132341401,-0.7597587597741075,-0.5663474541492592,-1.1083046903385485,-0.962639546604153,-0.39989525984757485,-0.2939032467699559,0.545,-0.36829960537902773,0.056549603527794375,0.6303405661458107,0.521675719802401,-0.4058024593592954,-1.2316248425576148,-0.8622939031431225,-0.6386402808919348,-0.7597587597741075,-0.2776673809526785,-0.2814031501226062,-0.32666078047472574,0.594,43
Francis Coquelin,MF,Villarreal,31,713,-0.15709739238663206,0.16699999999999998,0.6840053845080225,-0.612964993335669,0.855,0.9109999999999999,0.905,0.778,-0.7154074347719397,0.027134073251252305,0.04406886659581403,-0.4584971730628128,-0.11622462858219096,-0.40309156398367463,-0.5663474541492592,-0.4853635422385652,-0.962639546604153,1.1536886155224546,1.667883357368107,1.0,0.1683788694814199,0.6999487683475372,-0.2578315183774657,-0.37863844029377736,0.15408459449486162,0.15696674727353052,0.2854959711796685,-0.4615192455516231,-0.40309156398367463,-0.2776673809526785,-0.2814031501226062,0.2908942227734203,0.6,18
Ángel Correa,MFFW,Atlético Madrid,27,821,1.961622280704071,0.379,0.6840053845080225,-0.5379555222144345,0.785,0.875,0.779,0.4,-0.7154074347719397,1.0800455393908892,-0.594136808162616,1.148213220927615,0.14801804818724806,0.25258875887457255,-0.5335039525738935,1.5725337844261547,0.42185159445721016,-0.8693848350924798,-0.9837424269906269,0.375,0.1108565810688801,0.4047147654678392,-0.6913648193007144,-0.37863844029377736,-0.05899511647057473,1.2182927405071304,2.929908211509886,2.211399249508279,0.25258875887457255,-0.2776673809526785,-0.2814031501226062,-0.3894655849006569,0.16699999999999998,9
Thierry Correia,DF,Valencia,23,1382,-0.7910146123601988,0.0,-0.8589644165131605,0.9997386357708707,0.773,0.883,0.787,0.546,-0.7154074347719397,-0.7422272591374058,0.025258204979396872,-0.3689299770660571,0.1919377384811417,0.28582244283603975,1.0459893401658367,-0.5919790554314758,-0.8130977459448478,0.17541515115895218,0.43185102522699087,0.655,-0.5728466166174199,-0.23046143655191836,-0.017850260702263605,1.238930343728517,-0.23880976554529781,-0.13406395486911463,-0.662581599946393,-0.1972279334425486,0.28582244283603975,0.5627133553140256,-0.2814031501226062,-0.3268997893070212,0.531,43
Diego Costa,FW,Wolves,34,644,-0.7910146123601988,0.33299999999999996,-0.8589644165131605,-1.0255170845024584,0.728,0.905,0.7390000000000001,1.0,-0.7154074347719397,0.03328081892648541,-1.1132410514246327,-0.8360855623685503,-0.6788143132341401,-0.3224937349248353,-0.5663474541492592,-0.044498757165206015,-0.962639546604153,-1.0575649961641886,-1.3309936317381292,0.5,-0.07150122392975974,-0.6756875333790918,-0.10082777484858614,-0.37863844029377736,-0.9415850035692944,0.05391905681399577,2.2507220784908712,1.6388696228250643,-0.3224937349248353,-0.2776673809526785,-0.2814031501226062,-0.9880567038583404,0.4,75
Vladimír Coufal,DF,West Ham,30,1291,-0.7910146123601988,0.0,-0.8589644165131605,1.3372812558164258,0.633,0.863,0.654,0.34600000000000003,-0.7154074347719397,-0.3151445661458547,-0.4467863771190385,-0.12303203620720861,0.8269335295163163,0.9128303772402849,1.4653426260501277,-0.3772991681427315,-0.5891132415233065,0.026486334651313097,0.07429661097991636,0.7140000000000001,-0.20098098417391871,0.5384861784126652,0.10447445884590831,-0.37863844029377736,-0.47424403015133093,-0.09304218445603177,-0.7831905764526041,-0.7099890369358006,0.9128303772402849,-0.2776673809526785,-0.2814031501226062,-0.39359887295754825,0.5710000000000001,74
Aaron Cresswell,DF,West Ham,33,1533,-0.7910146123601988,0.14300000000000002,-0.8589644165131605,1.0559957391117967,0.7959999999999999,0.938,0.802,0.5,-0.7154074347719397,0.1187866696208584,-0.16948552191096994,0.0043298041483858215,0.8508966522894598,0.8803615149074858,0.7512567793644211,-0.23775065958764569,-0.962639546604153,-0.9774402671974403,-0.9844116830040464,0.375,-0.640089685476035,-0.20636108996735375,-0.08455874305692947,-0.37863844029377736,-0.5073861542489109,-0.3419800395381161,-0.9022675380598255,-0.6566520020850047,0.8803615149074858,-0.2776673809526785,-0.2814031501226062,-0.8187415414086567,0.545,74
Bryan Cristante,MF,Roma,27,1839,-0.5452381154373315,0.16699999999999998,-0.31438683968215475,0.36215813124037854,0.815,0.89,0.872,0.601,-0.7154074347719397,-0.8950679932096189,-0.1234097591146896,-0.7123216198887228,-0.42713502777998036,-0.6912277071943511,-0.5530178210515405,-0.9699287172613914,-0.775339593267956,0.15245582250193337,-0.055550548128370444,0.7170000000000001,-0.5512758220263251,-0.987746348597153,-0.5641387209972741,-0.37863844029377736,-0.9180662917717938,-1.0764717299623456,-0.8204635844083527,-0.5988339602279836,-0.6912277071943511,-0.2776673809526785,-0.2814031501226062,-0.6228141453265168,0.607,11
Juan Cuadrado,DFFW,Juventus,34,1059,-0.7910146123601988,0.278,-0.8589644165131605,0.38091049902068674,0.836,0.899,0.875,0.72,0.7890049270532249,1.2503644287589022,-0.5766826293000521,0.33873687488944143,1.04025739913991,0.7979625197986129,0.27622129722756145,0.6060543964855672,0.6961588786506708,0.5140220616655506,0.5412385590914713,0.519,-0.5514430082997414,0.17053384791102047,-0.18995359969765716,-0.37863844029377736,0.05571864904326912,0.04226706833732753,-0.07389763517477589,0.48677012605493275,0.7979625197986129,-0.2776673809526785,-0.2814031501226062,-0.48968867338644195,0.6,8
