Player,Pos,Squad,Age,Min,Goals,SoT%,G/Sh,ShoDist,PasTotCmp%,PasShoCmp%,PasMedCmp%,PasLonCmp%,Assists,PasAss,Pas3rd,PPA,CrsPA,PasCrs,TI,SCA,GCA,Tkl,TklWon,TklDri%,Blocks,Int,Clr,Err,Touches,TouAtt3rd,TouAttPen,CPA,Crs,PKwon,PKcon,Recov,AerWon%
Jorginho,MF,Chelsea,30,2273,0.05763406385615784,0.222,-0.9844762579070052,2.4457766806216377,0.897,0.925,0.9259999999999999,0.716,-0.32541597293890023,-0.35446510592915687,0.5363371149173156,0.028331988089437064,-0.6853148947047335,-0.766940842866465,-0.4975976083260815,-0.31978374136640525,-0.1029632714844983,-0.19518334188411898,-0.08548168942766642,0.303,-0.636189736940067,-0.1054014004612283,-0.6599546639928878,0.07924350538181923,-0.2364102975085285,-0.38170698245166484,-0.7574346988549651,-0.5936054539389611,-0.766940842866465,-0.24665236087977901,-0.2858108337453025,-0.3279492428302555,0.4
Josan,DFMF,Elche,32,1211,0.17909186473580546,0.33299999999999996,1.027227713820452,-0.3087782225491639,0.705,0.813,0.769,0.45299999999999996,1.0394089194232985,0.909560020374249,-0.7307013231994952,1.2618187462657495,2.481122406834643,2.4289017126035533,0.9867298716107817,0.18197796065202038,0.10448830422041742,0.37700572626561746,0.32210592395809395,0.42100000000000004,0.19529346520247448,-0.04681597649286498,-0.1426397609560544,-0.30909920776056493,0.017802520529031758,0.43991543851372666,0.011412720226170937,0.33166069585127034,2.4289017126035533,-0.24665236087977901,-0.2858108337453025,0.05502925880612345,0.259
Willian José,FW,Betis,30,1604,1.4688819606969878,0.25,1.2638987693177999,0.31812047955177725,0.7759999999999999,0.853,0.7879999999999999,0.5820000000000001,0.6246571407023255,-0.01122038087497476,-0.6877698404302423,-0.5168673296913844,-0.5241494555429111,-0.6238778012092896,-0.47652558074520573,0.030993284286774066,0.25824185586776915,-0.7432629648002693,-0.5588583432936899,0.182,-1.003704079148781,-0.9085795390582927,-0.6017248113257594,-0.30909920776056493,-0.6674272300884234,-0.14417047318250978,0.006616177549343388,0.13331484239859318,-0.6238778012092896,-0.24665236087977901,-0.2858108337453025,-0.8880942326809335,0.32299999999999995
Joselu,FW,Alavés,32,3122,0.20739037082400977,0.36700000000000005,0.0805434918310603,0.22313582771830132,0.612,0.7240000000000001,0.5720000000000001,0.42200000000000004,-0.295215271170931,-0.5917849441241182,-0.8030097043783491,-0.7071633082443134,-0.5197099207037322,-0.4833249042252141,-0.4749609173496192,-0.6103418088385542,-0.39473626872696527,-1.0991731266194136,-1.0813405118785575,0.214,-1.0490758506937308,-1.096220434738391,-0.6164169750772344,-0.30909920776056493,-1.0664904781695008,-0.556565172169471,-0.19126799689529445,-0.4263245671545352,-0.4833249042252141,0.2689849826942164,-0.2858108337453025,-1.1271733063464136,0.647
Diogo Jota,FW,Liverpool,25,2364,0.9582679028119983,0.363,0.908892186071778,-0.9546738550167998,0.737,0.7959999999999999,0.804,0.58,-0.06212727472432534,-0.11593604387947994,-0.6880900149633702,-0.15192144202544905,-0.5395115306801633,-0.5824740113505855,-0.4923984801550732,-0.05071409606898062,0.3202780286730919,-0.72703356213517,-0.7187127468338509,0.213,-0.9766733434452312,-0.9144716237836724,-0.8333465780091586,-0.30909920776056493,-0.9139563438560478,-0.1752534816145082,0.5529384374661699,0.288535130930221,-0.5824740113505855,0.6613114217699749,-0.2858108337453025,-0.9343524212267025,0.278
Stevan Joveti?,FW,Hertha BSC,32,1017,2.8191108054570724,0.35600000000000004,0.5538856028257562,0.22313582771830132,0.7,0.816,0.6729999999999999,0.5579999999999999,0.1712302100889273,1.1863899359082355,0.3793609303701133,1.6247971055433716,0.4585318504968728,-0.1869300813289089,-0.4975976083260815,1.315481450339512,0.5297871824317693,-0.856383928979172,-0.8185991957371871,0.375,-0.8325427571205826,-0.8415528530890951,-0.44441472597517656,-0.30909920776056493,0.10819401785536817,0.7880774234283325,1.24173253089867,0.3985331416864748,-0.1869300813289089,-0.24665236087977901,-0.2858108337453025,-0.25397109119863615,0.48
Juanmi,FW,Betis,29,2131,1.4764835362921884,0.545,2.447254046804539,-0.6317260387829818,0.802,0.862,0.846,0.649,0.08996981404147696,-0.4436170333267384,-0.953393337770638,-0.6875306012343975,-0.34160621372048733,-0.654121457806403,-0.40675803104257585,-0.41936303849470496,-0.22203711727229758,-0.41914641489835003,-0.39806399916720536,0.281,-0.6962793609480422,-0.8481710347061848,-0.7808964188775319,0.10512087059355951,-1.0010569366876088,-0.42143310472532225,0.12422205561482076,-0.20296415538652182,-0.654121457806403,0.2569671562915063,-0.2858108337453025,-0.8763625172168267,0.34600000000000003
Hamed Junior Traorè,FWMF,Sassuolo,22,1775,0.7037538617548377,0.431,0.6722211305744302,-0.09981198851551663,0.7829999999999999,0.878,0.8420000000000001,0.541,-0.12841300403646597,0.48649854680524424,-0.08668311731243905,0.6889075453004316,-0.1998512995581363,-0.12069140053127886,-0.4629758083366068,0.3583480779044322,0.2117983392852724,-0.3542642294102786,-0.5185945782294539,0.243,-0.4825406000269789,-0.4502069576832243,-0.7869202977074861,-0.30909920776056493,-0.3925754724996565,0.21446461307765993,0.40735313260104733,1.5695954546149815,-0.12069140053127886,-0.24665236087977901,-0.2858108337453025,-0.4587816415304921,0.273
Vinicius Júnior,FW,Real Madrid,21,2690,0.7640866142990499,0.519,1.5005698248151478,-0.34677208328255416,0.8390000000000001,0.895,0.863,0.696,0.4897279516931481,0.2729019719566706,-0.9165172421484464,0.4049325900167313,-0.25286428508762065,-0.15618292450452514,-0.45533391475156937,0.4874882515303772,0.7671552416108243,-0.7234080332844225,-0.5864835777010039,0.26,-0.9136243189004338,-1.0201073669909602,-0.8722618362623724,-0.30909920776056493,-0.760125211661994,0.3326992416280736,0.7123201390085909,1.8474349611852807,-0.15618292450452514,1.049980676684916,-0.2858108337453025,-1.0989156702040892,0.174
James Justin,DF,Leicester City,24,998,-0.6440255514819618,0.2,-0.9844762579070052,-1.1826370194171423,0.802,0.92,0.8390000000000001,0.44299999999999995,-0.653369332659248,0.20305829703992903,0.26640980915217377,0.3697235052706698,0.48030849193858677,0.07717557754227833,2.3041490065536308,-0.018563287925695532,-0.35972334112019383,1.2245356649009929,1.4117773334531647,0.5,1.5221402148837697,1.3617839585695868,1.0300514025441956,-0.30909920776056493,1.109429491518047,0.6323368154198824,-0.20257903028264207,0.08245659037798819,0.07717557754227833,-0.24665236087977901,-0.2858108337453025,0.7081774156781776,0.5
Jens Jønsson,MF,Cádiz,29,1303,-0.6440255514819618,0.0,-0.9844762579070052,-0.5747352476828962,0.792,0.8690000000000001,0.8059999999999999,0.545,-0.15278741530406253,-0.45403876757444595,-0.6962904687072307,-0.5496086984133041,-0.22239201138190384,-0.5315845044475449,-0.48109047613616496,-0.5095966701855673,-0.2721252193711621,0.8577763800161347,1.42480714934963,0.514,-0.12756948387459488,0.4699737836390106,0.09725010208125155,0.8764190019110533,-0.6430748027267662,-0.7362155177132065,-0.4581090425430763,-0.6282788657395838,-0.5315845044475449,-0.24665236087977901,-0.2858108337453025,0.15248186215780332,0.6409999999999999
Mathias Jørgensen,DF,Brentford,32,518,1.5368648278842127,0.5,4.932300129526692,-1.8855234429848637,0.7440000000000001,0.8859999999999999,0.763,0.516,-0.653369332659248,-0.027100140699240206,1.9111521867100292,0.6906505991646315,3.639809606456552,1.5800173364080945,5.552862708367355,0.39203313406221746,-0.8173015922341778,1.9927783905352983,-0.28318318526140984,0.667,1.6786114273342319,2.295079988436029,2.115311632494118,-0.30909920776056493,3.158124004505003,1.3458714561569547,-0.25455149030313456,-0.6282788657395838,1.5800173364080945,-0.24665236087977901,-0.2858108337453025,4.061534126967433,0.6920000000000001
Ozan Kabak,DF,Norwich City,22,922,-0.6440255514819618,0.5,-0.9844762579070052,-0.34677208328255416,0.8240000000000001,0.821,0.912,0.634,-0.653369332659248,-0.6785761409715579,-0.06399270128573673,-0.985223064019211,-0.6853148947047335,-0.8143902247084424,-0.36762504301852245,-0.3045561556398675,-0.8173015922341778,-0.02435350796463653,0.42223611921304843,0.444,0.9508051648255045,1.2646844776393158,1.0975717478034854,-0.30909920776056493,0.4493376922727725,-0.974305360039882,-0.6299484275669296,-0.6282788657395838,-0.8143902247084424,-0.24665236087977901,5.202628514786722,0.6438290914011645,0.5920000000000001
Christian Kabasele,DF,Watford,31,1193,-0.6440255514819618,0.0,-0.9844762579070052,-1.5245817660176553,0.789,0.762,0.884,0.623,-0.653369332659248,-0.9007430065000036,-0.5628780950293798,-0.7753201308362453,-0.39639691268119287,-0.7541206270963638,-0.42032976048704,-0.8648184744213934,-0.8173015922341778,-0.6837577273280553,-0.6655786940416035,0.6,1.0199458219939825,0.518339007694105,1.4693839410268021,2.4655329809631543,-0.1988796917923746,-1.022710039388914,-0.5529216541435498,-0.6282788657395838,-0.7541206270963638,-0.24665236087977901,-0.2858108337453025,0.34166485755435777,0.746
Issa Kaboré,DF,Troyes,21,2254,-0.6440255514819618,0.28600000000000003,-0.9844762579070052,0.3751112706518629,0.732,0.8740000000000001,0.74,0.547,-0.4880104181418677,-0.44767872146353627,-0.7132597813243522,0.08131478565153817,1.0732522101630422,0.44564277576750305,0.5438980209047678,-0.4367186987069604,-0.6372116406964646,-0.4090992235720825,-0.4530108507915611,0.395,-0.24100230896854033,-0.5309632756189331,-0.5746785913608858,-0.30909920776056493,-0.7152603411353052,-0.2858829545264767,-0.5879047970038134,-0.1387592072127812,0.44564277576750305,0.22948481351774053,-0.2858108337453025,-0.8165247048477334,0.382
Pavel Kade?ábek,DF,Hoffenheim,30,1195,-0.19915182605279977,0.182,0.0805434918310603,-1.3156155319840084,0.7440000000000001,0.83,0.7709999999999999,0.613,0.5162509392722643,0.9599407581030995,-0.014480558774198554,1.1102932480082197,2.0187579548304444,1.614922167994561,1.8422711127199045,0.3629609630662094,0.45651457125747086,-0.35306021076980876,-0.40280817489165155,0.467,0.3756654186759165,-0.27824978532870764,0.609561001256705,-0.30909920776056493,0.292405129672697,0.7261727307734056,0.5373592743206259,-0.0017346668134377676,1.614922167994561,-0.24665236087977901,-0.2858108337453025,-0.21841794215198476,0.6
Tino Kadewere,FW,Lyon,26,506,1.7199156130391042,0.389,-0.27446309141496156,-0.764704551349848,0.8140000000000001,0.924,0.76,0.5,-0.653369332659248,3.1894549814182307,-0.7452373855041143,3.1388579519109268,2.3800135371003615,1.4058923207216971,-0.1696826351056118,2.078605016003424,-0.8173015922341778,2.1738076546090497,2.2015356162629445,0.364,3.039635059114663,1.3991814012835664,-0.6660555751498679,-0.30909920776056493,1.6106723953442352,3.226312632022857,4.578982009259118,3.538200955130588,1.4058923207216971,-0.24665236087977901,-0.2858108337453025,0.8125589321965234,0.23800000000000002
Florian Kainz,MFFW,Köln,29,2320,-0.18572891192347157,0.35,0.19887901957973436,0.5840775046855096,0.605,0.753,0.731,0.371,-0.010750378655497586,0.18838309349044893,-0.5558329677300026,0.24526050144413764,0.3175231569073645,0.8359381351630718,-0.3638298670951961,-0.11183240150581542,0.4512070039095889,-0.7059666999898653,-0.7689627456763128,0.457,-0.5093625681510913,-0.304820684046135,-0.6256811275022776,-0.30909920776056493,-0.7450142298487908,-0.0990611353969501,-0.4486487365108633,-0.36500379939181743,0.8359381351630718,-0.24665236087977901,-0.2858108337453025,-0.6965707333517615,0.43200000000000005
